state_name,district,stcode,dtcode,year,flood_events,affected_area,fatalities,displaced,max_severity,max_flood_impact_index,flood_occurred
Andhra Pradesh,Krishna,28,510,2008,1,75487.925180729,74,0,1.5,5.899066787828,1
Andhra Pradesh,Krishna,28,510,2009,1,309688.87629397993,303,0,2.0,7.047228106993,1
Andhra Pradesh,Krishna,28,510,2010,2,79122.95233635399,27,128000,1.5,5.6456186224386,1
Andhra Pradesh,Krishna,28,510,2014,1,376261.49252047,42,0,1.5,6.9557010155946,1
Andhra Pradesh,Krishna,28,510,2016,1,137435.40460325,17,3000,1.5,6.7291632323494,1
Andhra Pradesh,Krishna,28,510,2019,1,302736.26273672,25,112500,1.5,6.3561257086734,1
Andhra Pradesh,Krishna,28,510,2020,1,125991.05614617,6,2100,1.5,6.2764309755682,1
Andhra Pradesh,Kurnool,28,511,1989,1,905209.24002345,780,0,1.0,6.9567489784143,1
Andhra Pradesh,Kurnool,28,511,1990,1,267344.39912722,430,470000,1.0,6.0291310813779,1
Andhra Pradesh,Kurnool,28,511,1991,2,1090926.38334009,162,385000,2.0,6.5559874421319,1
Andhra Pradesh,Kurnool,28,511,1992,1,752428.65689717,90,8000,1.0,7.4675299347014,1
Andhra Pradesh,Kurnool,28,511,1994,1,1981837.4145729,617,800000,1.0,7.6772792647922,1
Andhra Pradesh,Kurnool,28,511,1995,1,262803.20430156,94,12000,1.0,6.0216906475049,1
Andhra Pradesh,Kurnool,28,511,1996,1,177527.01853538,326,100000,1.0,5.9482344637432,1
Andhra Pradesh,Kurnool,28,511,1997,2,617912.7700778099,106,0,1.0,6.622673838813,1
Andhra Pradesh,Kurnool,28,511,1998,1,194230.07599669,230,80000,1.0,6.5893464757574,1
Andhra Pradesh,Kurnool,28,511,2000,1,129459.75891805,162,3000000,2.0,6.3674072990361,1
Andhra Pradesh,Kurnool,28,511,2001,2,131911.01071193902,155,59000,1.0,5.71958564905,1
Andhra Pradesh,Kurnool,28,511,2005,1,619197.82147132,126,100000,1.0,7.1897694283678,1
Andhra Pradesh,Kurnool,28,511,2006,1,190869.85004179,20,0,1.0,5.8827973236263,1
Andhra Pradesh,Kurnool,28,511,2007,3,617584.427129385,250,270000,1.0,6.7677001834385,1
Andhra Pradesh,Kurnool,28,511,2009,1,309688.87629397993,303,0,2.0,7.047228106993,1
Andhra Pradesh,Kurnool,28,511,2014,1,376261.49252047,42,0,1.5,6.9557010155946,1
Andhra Pradesh,Kurnool,28,511,2016,1,137435.40460325,17,3000,1.5,6.7291632323494,1
Andhra Pradesh,Kurnool,28,511,2020,1,125991.05614617,6,2100,1.5,6.2764309755682,1
