state_name,district,latitude,longitude,elevation_m,status
Maharashtra,Jalgaon,20.842545,75.526434,233.0,success
Maharashtra,Jalna,19.917634,75.867839,530.0,success
Maharashtra,Kolhapur,16.461912,74.089343,668.0,success
Maharashtra,Latur,18.354038,76.754874,630.0,success
Maharashtra,Mumbai Suburban,19.129703,72.8932,35.0,success
Maharashtra,Nagpur,21.152818,79.014829,353.0,success
Maharashtra,Nanded,19.09355,77.482529,388.0,success
Maharashtra,Nandurbar,21.516845,74.541276,158.0,success
Maharashtra,Nashik,20.224182,74.106384,644.0,success
Maharashtra,Osmanabad,18.169545,76.117983,655.0,success
Maharashtra,Parbhani,19.286927,76.62087,441.0,success
Maharashtra,Pune,18.645146,73.92303,565.0,success
Maharashtra,Raigad,18.493681,73.143104,336.0,success
Maharashtra,Ratnagiri,17.282428,73.472308,246.0,success
Maharashtra,Sangli,17.172061,74.586054,641.0,success
Maharashtra,Satara,17.636333,74.297653,857.0,success
Maharashtra,Sindhudurg,16.135637,73.651491,188.0,success
Maharashtra,Solapur,17.849768,75.2762,486.0,success
Maharashtra,Thane,19.359503,73.370809,102.0,success
Maharashtra,Wardha,20.826282,78.612716,258.0,success
Maharashtra,Washim,20.287143,77.236281,490.0,success
Maharashtra,Yavatmal,20.06379,78.358149,291.0,success
Maharashtra,Palghar,19.757484,73.086686,54.0,success
Meghalaya,East Garo Hills,25.632189,90.643835,333.0,success
Meghalaya,East Khasi Hills,25.399069,91.822745,1168.0,success
Meghalaya,West Jaintia Hills,25.436173,92.182571,1303.0,success
Meghalaya,Ri Bhoi,25.860731,91.829776,718.0,success
Meghalaya,South Garo Hills,25.346125,90.569898,102.0,success
Meghalaya,West Garo Hills,25.606346,90.20372,353.0,success
Meghalaya,West Khasi Hills,25.577437,91.275972,1355.0,success
Meghalaya,North Garo Hills,25.870553,90.718956,230.0,success
Meghalaya,East Jaintia Hills,25.249911,92.482897,870.0,success
Meghalaya,South West Khasi Hills,25.33363,91.320905,1179.0,success
Meghalaya,South West Garo Hills,25.442245,89.98148,79.0,success
Manipur,Imphal East,24.874395,94.024701,787.0,success
Manipur,Imphal West,24.759059,93.861934,774.0,success
Mizoram,Saiha,22.286998,93.013158,903.0,success
Mizoram,Serchhip,23.292383,92.84458,1117.0,success
Nagaland,Dimapur,25.810633,93.89935,346.0,success
Nagaland,Kohima,25.770003,94.124019,1214.0,success
Nagaland,Mokokchung,26.478574,94.507568,318.0,success
Nagaland,Mon,26.660365,94.999855,871.0,success
Nagaland,Phek,25.653109,94.380044,1454.0,success
Manipur,Bishnupur,24.528467,93.79168,767.0,success
Manipur,Chandel,24.160649,94.00211,1101.0,success
Manipur,Churachandpur,24.276286,93.677942,837.0,success
Manipur,Senapati,25.393454,94.162959,1234.0,success
Manipur,Tamenglong,25.060212,93.549145,1025.0,success
Manipur,Noney,24.664775,93.489005,680.0,success
Manipur,Pherzawl,24.364419,93.253744,527.0,success
Nagaland,Tuensang,26.155986,94.909136,1485.0,success
Manipur,Thoubal,24.62875,94.003086,774.0,success
Manipur,Ukhrul,25.310005,94.471272,1725.0,success
Madhya Pradesh,Rajgarh,23.870824,76.774447,412.0,success
Madhya Pradesh,Ratlam,23.502929,74.954615,543.0,success
