state_name,district,latitude,longitude,elevation_m,slope_percent,terrain_class,terrain_data_source,stcode,dtcode,historical_flood_events,historical_flood_years,historical_fatalities,historical_displaced,historical_max_severity,historical_max_impact,historical_data_available
Rajasthan,Jalore,25.210003,72.319279,116.0,0.330664154897446,non_hilly,SRTM30m,8.0,104.0,15.0,13.0,2655.0,3637477.0,2.0,7.6772792647922,1
Rajasthan,Jhalawar,24.312933,76.52299,324.0,0.753647502106205,non_hilly,SRTM30m,8.0,105.0,9.0,8.0,1963.0,2996077.0,1.5,7.6772792647922,1
Rajasthan,Jhunjhunu,28.079953,75.541611,348.0,0.3745475642649298,non_hilly,SRTM30m,8.0,106.0,6.0,6.0,1816.0,3406577.0,1.5,7.6772792647922,1
Rajasthan,Jodhpur,26.736771,72.873695,322.0,0.506384459126655,non_hilly,SRTM30m,8.0,107.0,7.0,7.0,1943.0,2951077.0,1.5,7.6772792647922,1
Rajasthan,Karauli,26.516121,77.057687,317.0,1.0316924627832127,non_hilly,SRTM30m,8.0,108.0,10.0,9.0,4038.0,6852683.0,2.0,7.8036502762015,1
Rajasthan,Kota,25.194782,75.999636,258.0,0.2702399931968414,non_hilly,SRTM30m,8.0,109.0,8.0,7.0,1943.0,2996077.0,1.5,7.6772792647922,1
Rajasthan,Nagaur,27.05898,74.175805,322.0,0.4145616511913331,non_hilly,SRTM30m,8.0,110.0,6.0,6.0,1718.0,2888077.0,1.5,7.6772792647922,1
Rajasthan,Pali,25.605202,73.416043,248.0,0.2252252252252252,non_hilly,SRTM30m,8.0,111.0,8.0,8.0,1963.0,2951077.0,1.5,7.6772792647922,1
Rajasthan,Rajsamand,25.289278,73.82296,686.0,0.7485405936593145,non_hilly,SRTM30m,8.0,112.0,8.0,8.0,1963.0,2951077.0,1.5,7.6772792647922,1
Rajasthan,Sawai Madhopur,26.229548,76.30371,245.0,0.2307553286081064,non_hilly,SRTM30m,8.0,113.0,7.0,6.0,1718.0,2933077.0,1.5,7.6772792647922,1
Uttar Pradesh,Siddharth Nagar,27.251256,82.871457,86.0,0.1355934699141114,non_hilly,SRTM30m,9.0,182.0,24.0,21.0,5009.0,11075823.0,2.0,7.8036502762015,1
Uttar Pradesh,Sitapur,27.502672,80.833568,133.0,0.4054054054054054,non_hilly,SRTM30m,9.0,183.0,25.0,21.0,5424.0,10554883.0,2.0,7.8036502762015,1
Uttar Pradesh,Sonbhadra,24.415127,83.063218,272.0,0.526480073656642,non_hilly,SRTM30m,9.0,184.0,22.0,17.0,6953.0,15679123.0,2.0,7.8036502762015,1
Uttar Pradesh,Sultanpur,26.260453,82.238104,94.0,0.1572758931573123,non_hilly,SRTM30m,9.0,185.0,28.0,23.0,5530.0,10855883.0,2.0,7.8036502762015,1
Uttar Pradesh,Unnao,26.567325,80.619864,122.0,0.2712087553460081,non_hilly,SRTM30m,9.0,186.0,24.0,20.0,5314.0,10490883.0,2.0,7.8036502762015,1
Uttar Pradesh,Varanasi,25.372151,82.941737,79.0,0.1869499778897146,non_hilly,SRTM30m,9.0,187.0,20.0,17.0,4583.0,9410720.0,2.0,7.8036502762015,1
Uttar Pradesh,Kasganj,27.788846,78.822967,176.0,0.3712952403319194,non_hilly,SRTM30m,9.0,633.0,22.0,19.0,5236.0,10488683.0,2.0,7.8036502762015,1
Uttar Pradesh,Amethi,26.346261,81.625244,110.0,0.1349926729372286,non_hilly,SRTM30m,9.0,640.0,24.0,20.0,5314.0,10490883.0,2.0,7.8036502762015,1
Uttar Pradesh,Sambhal,28.42723,78.556456,192.0,0.3131375118459455,non_hilly,SRTM30m,9.0,659.0,20.0,17.0,4421.0,7296683.0,2.0,7.8036502762015,1
Uttar Pradesh,Shamli,29.477224,77.287074,244.0,0.1372065108167101,non_hilly,SRTM30m,9.0,660.0,17.0,13.0,4683.0,8080623.0,2.0,7.8036502762015,1
Uttar Pradesh,Hapur,28.716716,77.890408,212.0,0.0513622984777831,non_hilly,SRTM30m,9.0,661.0,16.0,13.0,3822.0,6296683.0,2.0,7.8036502762015,1
West Bengal,24 Paraganas North,22.687777,88.660602,12.0,0.0664284281798195,non_hilly,SRTM30m,19.0,303.0,19.0,14.0,6379.0,35839817.0,2.0,7.8036502762015,1
West Bengal,24 Paraganas South,22.091132,88.631053,0.0,0.2430697405001969,non_hilly,SRTM30m,19.0,304.0,19.0,15.0,6099.0,36021317.0,2.0,7.8036502762015,1
West Bengal,Bankura,23.133384,87.208101,75.0,0.2609621993716117,non_hilly,SRTM30m,19.0,305.0,22.0,15.0,17532.0,46375817.0,2.0,7.8036502762015,1
West Bengal,Purba Bardhaman,23.389576,87.906445,30.0,0.133232121577016,non_hilly,SRTM30m,19.0,306.0,20.0,14.0,7496.0,35875817.0,2.0,7.8036502762015,1
West Bengal,Birbhum,24.063678,87.697955,49.0,0.1438582240806865,non_hilly,SRTM30m,19.0,307.0,22.0,15.0,7808.0,40025017.0,2.0,7.8036502762015,1
West Bengal,Coochbehar,26.252012,89.419444,41.0,0.1004508734833813,non_hilly,SRTM30m,19.0,308.0,20.0,13.0,3893.0,45510611.0,2.0,7.5312261660442,1
West Bengal,Darjeeling,26.839211,88.308289,492.0,19.038402394726923,non_hilly,SRTM30m,19.0,309.0,16.0,12.0,4131.0,42220128.0,2.0,7.7855937662664,1
West Bengal,Dinajpur Dakshin,25.386878,88.505436,28.0,0.09009009009009,non_hilly,SRTM30m,19.0,310.0,14.0,12.0,5208.0,33817623.0,2.0,7.8036502762015,1
Andaman & Nicobar Island,South Andamans,10.704663,92.488856,113.0,3.851060017109643,non_hilly,SRTM30m,,,,,,,,,0
Andaman & Nicobar Island,Nicobars,7.000402,93.810291,121.0,4.871203355631617,non_hilly,SRTM30m,,,,,,,,,0
Andaman & Nicobar Island,North And Middle Andaman,12.611585,92.831538,99.0,3.52742881521985,non_hilly,SRTM30m,,,,,,,,,0
Andhra Pradesh,Anantapur,14.459022,77.501397,428.0,0.5786932816148782,non_hilly,SRTM30m,28.0,502.0,21.0,17.0,3653.0,2350487.0,2.0,7.6772792647922,1
Andhra Pradesh,Chittoor,13.309409,78.975506,417.0,1.865064147046025,non_hilly,SRTM30m,28.0,503.0,30.0,20.0,4686.0,3145827.0,2.0,7.6772792647922,1
Andhra Pradesh,Y.S.R.,14.476819,78.665296,157.0,0.2791330629298629,non_hilly,SRTM30m,28.0,504.0,24.0,20.0,4077.0,2556927.0,2.0,7.6772792647922,1
Andhra Pradesh,East Godavari,17.161476,82.044391,30.0,0.5537123966726928,non_hilly,SRTM30m,28.0,505.0,29.0,21.0,8666.0,8076500.0,2.0,7.6772792647922,1
Andhra Pradesh,Guntur,16.266894,80.181816,45.0,0.4719342739701193,non_hilly,SRTM30m,28.0,506.0,29.0,21.0,4513.0,10954600.0,2.0,7.6772792647922,1
Andhra Pradesh,Krishna,16.431761,81.036913,5.0,0.0939262919828698,non_hilly,SRTM30m,28.0,510.0,31.0,22.0,7034.0,11122600.0,2.0,7.6772792647922,1
Andhra Pradesh,Kurnool,15.524792,77.9034,356.0,0.4059922721899598,non_hilly,SRTM30m,28.0,511.0,24.0,19.0,3939.0,5301100.0,2.0,7.6772792647922,1
Andhra Pradesh,Spsr Nellore,14.293407,79.77947,27.0,0.4229933274000241,non_hilly,SRTM30m,28.0,515.0,26.0,19.0,4409.0,3136827.0,2.0,7.6772792647922,1
Andhra Pradesh,Prakasam,15.634589,79.51104,133.0,0.6229193334341431,non_hilly,SRTM30m,28.0,517.0,29.0,22.0,4351.0,8966600.0,2.0,7.6772792647922,1
Andhra Pradesh,Srikakulam,18.622074,83.973235,37.0,0.6325410313318286,non_hilly,SRTM30m,28.0,519.0,28.0,20.0,15375.0,20354627.0,2.0,7.6772792647922,1
Andhra Pradesh,Visakhapatanam,17.899462,82.564071,1199.0,16.9150266479027,non_hilly,SRTM30m,28.0,520.0,29.0,20.0,8551.0,6832627.0,2.0,7.6772792647922,1
Andhra Pradesh,Vizianagaram,18.5012,83.319456,126.0,0.6891590682029807,non_hilly,SRTM30m,28.0,521.0,29.0,20.0,15449.0,20354627.0,2.0,7.6772792647922,1
Andhra Pradesh,West Godavari,16.979197,81.340664,123.0,0.9462584951936196,non_hilly,SRTM30m,28.0,523.0,29.0,21.0,6880.0,11361500.0,2.0,7.6772792647922,1
Arunanchal Pradesh,Changlang,27.269464,96.059419,556.0,8.700928166746701,non_hilly,SRTM30m,12.0,229.0,26.0,18.0,1601.0,21252324.0,2.0,7.0499170611118,1
Arunanchal Pradesh,Dibang Valley,28.878366,95.92481,2835.0,41.19511150547204,hilly,SRTM30m,12.0,230.0,15.0,11.0,1270.0,15532913.0,2.0,7.0796584663999,1
Arunanchal Pradesh,East Kameng,27.55575,92.973731,474.0,7.137458169794039,non_hilly,SRTM30m,12.0,231.0,22.0,13.0,1889.0,17965913.0,2.0,7.0796584663999,1
Arunanchal Pradesh,Lohit,27.964058,96.273539,733.0,22.01043944175744,non_hilly,SRTM30m,12.0,234.0,25.0,16.0,2346.0,19921913.0,2.0,7.1773904313439,1
Arunanchal Pradesh,Lower Dibang Valley,28.228521,95.887507,1640.0,42.2483085711298,non_hilly,SRTM30m,12.0,235.0,30.0,20.0,2602.0,20549124.0,2.0,7.1773904313439,1
Arunanchal Pradesh,Lower Subansiri,27.542303,93.789731,1753.0,5.343168714592511,non_hilly,SRTM30m,12.0,236.0,30.0,16.0,2891.0,20592913.0,2.0,7.1773904313439,1
Arunanchal Pradesh,East Siang,28.069064,95.392603,144.0,0.408606885017574,non_hilly,SRTM30m,12.0,232.0,34.0,22.0,3007.0,24619124.0,2.0,7.1773904313439,1
Arunanchal Pradesh,Kurung Kumey,27.982685,93.161421,2096.0,24.959208285146858,non_hilly,SRTM30m,12.0,233.0,19.0,11.0,1778.0,6857913.0,2.0,7.0796584663999,1
Arunanchal Pradesh,Papum Pare,27.284704,93.616501,1313.0,13.723380240081632,non_hilly,SRTM30m,12.0,237.0,44.0,25.0,3506.0,27006124.0,2.0,7.1773904313439,1
Arunanchal Pradesh,Tawang,27.661099,91.907038,3965.0,25.56963583817218,hilly,SRTM30m,12.0,238.0,3.0,2.0,498.0,295000.0,2.0,7.0550817943772,1
Arunanchal Pradesh,Tirap,27.035919,95.507777,673.0,15.741168850070252,non_hilly,SRTM30m,12.0,239.0,27.0,17.0,1679.0,21758324.0,2.0,7.0499170611118,1
Arunanchal Pradesh,Upper Siang,28.74735,95.025005,2119.0,44.915712148658926,hilly,SRTM30m,12.0,240.0,23.0,14.0,2711.0,9232913.0,2.0,7.1773904313439,1
Arunanchal Pradesh,Upper Subansiri,28.232839,94.103972,618.0,23.460038075150837,non_hilly,SRTM30m,12.0,241.0,26.0,14.0,2005.0,20560913.0,2.0,7.0796584663999,1
Arunanchal Pradesh,West Kameng,27.317855,92.445382,1680.0,38.15195535022716,non_hilly,SRTM30m,12.0,242.0,28.0,18.0,3275.0,22246011.0,2.0,7.1773904313439,1
Arunanchal Pradesh,West Siang,28.196509,94.483026,2256.0,31.179179387247995,hilly,SRTM30m,12.0,243.0,24.0,14.0,2770.0,9262913.0,2.0,7.1773904313439,1
Arunanchal Pradesh,Anjaw,28.035419,96.853275,3333.0,31.1760759955043,hilly,SRTM30m,12.0,628.0,10.0,8.0,1140.0,4356113.0,2.0,7.0550817943772,1
Arunanchal Pradesh,Longding,26.879063,95.287775,613.0,32.38690130061425,non_hilly,SRTM30m,12.0,666.0,23.0,15.0,1751.0,18261324.0,2.0,7.0499170611118,1
Arunanchal Pradesh,Kra Daadi,27.942655,93.771025,1374.0,35.37992684854363,non_hilly,SRTM30m,12.0,677.0,19.0,11.0,1778.0,6857913.0,2.0,7.0796584663999,1
Arunanchal Pradesh,Namsai,27.710383,96.01294,207.0,0.5429299294681124,non_hilly,SRTM30m,12.0,678.0,29.0,20.0,2377.0,19956124.0,2.0,7.1773904313439,1
Arunanchal Pradesh,Siang,28.476869,94.81827,1044.0,24.46994579464669,non_hilly,SRTM30m,12.0,679.0,28.0,16.0,2905.0,22571913.0,2.0,7.1773904313439,1
Bihar,Araria,26.264828,87.371782,55.0,0.1572813328166329,non_hilly,SRTM30m,10.0,188.0,22.0,18.0,5546.0,36490220.0,2.0,7.8036502762015,1
Bihar,Aurangabad,24.802722,84.410966,103.0,0.1089888010977216,non_hilly,SRTM30m,10.0,189.0,18.0,15.0,4122.0,13482220.0,2.0,7.8036502762015,1
Arunanchal Pradesh,Kamle,27.737138,94.110428,978.0,48.00547749500655,non_hilly,SRTM30m,12.0,718.0,33.0,18.0,2967.0,23985124.0,2.0,7.1773904313439,1
Arunanchal Pradesh,Lower Siang,27.803531,94.56848,729.0,2.7046210388300884,non_hilly,SRTM30m,12.0,719.0,43.0,26.0,3321.0,26608124.0,2.0,7.1773904313439,1
Bihar,Banka,24.833282,86.816,115.0,0.3270332851525391,non_hilly,SRTM30m,10.0,190.0,22.0,16.0,8394.0,38252220.0,2.0,7.8036502762015,1
Bihar,Begusarai,25.513015,86.08868,41.0,0.0998242005964693,non_hilly,SRTM30m,10.0,191.0,23.0,20.0,5217.0,12447220.0,2.0,7.8036502762015,1
Bihar,Bhagalpur,25.283884,87.132333,33.0,0.4018309681908559,non_hilly,SRTM30m,10.0,192.0,23.0,18.0,8558.0,37865220.0,2.0,7.8036502762015,1
Bihar,Bhojpur,25.46112,84.566145,63.0,0.1563031129152312,non_hilly,SRTM30m,10.0,193.0,21.0,18.0,4758.0,12074220.0,2.0,7.8036502762015,1
Bihar,Buxar,25.504203,84.109275,67.0,0.1563544861555977,non_hilly,SRTM30m,10.0,194.0,25.0,22.0,5442.0,14072220.0,2.0,7.8036502762015,1
Bihar,Darbhanga,26.082602,86.032877,44.0,0.1031091642246304,non_hilly,SRTM30m,10.0,195.0,26.0,22.0,5284.0,12452920.0,2.0,7.8036502762015,1
Bihar,Gaya,24.679524,85.011406,120.0,0.09009009009009,non_hilly,SRTM30m,10.0,196.0,19.0,16.0,7077.0,13634220.0,2.0,7.8036502762015,1
Bihar,Gopalganj,26.42129,84.373947,66.0,0.1351351351351351,non_hilly,SRTM30m,10.0,197.0,29.0,24.0,5632.0,14301420.0,2.0,7.8036502762015,1
Arunanchal Pradesh,Pakke Kessang,27.156486,93.151057,1436.0,17.779441315981547,non_hilly,SRTM30m,12.0,723.0,38.0,23.0,3368.0,23164124.0,2.0,7.1773904313439,1
Bihar,Jamui,24.755728,86.300689,122.0,0.7721653028927876,non_hilly,SRTM30m,10.0,198.0,20.0,16.0,6915.0,13752220.0,2.0,7.8036502762015,1
Bihar,Jehanabad,25.15318,85.006554,72.0,0.2462360555248049,non_hilly,SRTM30m,10.0,199.0,17.0,15.0,4676.0,12134220.0,2.0,7.8036502762015,1
Arunanchal Pradesh,Leparada,27.917339,94.707408,675.0,5.468788361575857,non_hilly,SRTM30m,12.0,724.0,29.0,16.0,2918.0,22571913.0,2.0,7.1773904313439,1
Bihar,Kaimur (Bhabua),24.975338,83.576387,98.0,0.9918202525252,non_hilly,SRTM30m,10.0,200.0,22.0,18.0,4638.0,15098220.0,2.0,7.8036502762015,1
Bihar,Katihar,25.547833,87.647614,35.0,0.1344874775638127,non_hilly,SRTM30m,10.0,201.0,27.0,19.0,6514.0,39300220.0,2.0,7.8036502762015,1
Arunanchal Pradesh,Shi Yomi,28.68507,94.238426,2722.0,31.12293238406699,hilly,SRTM30m,12.0,725.0,14.0,9.0,1339.0,6756113.0,2.0,7.0550817943772,1
Assam,Barpeta,26.376306,91.049468,40.0,0.1870639201621114,non_hilly,SRTM30m,18.0,280.0,25.0,17.0,2444.0,23479511.0,2.0,7.1773904313439,1
Assam,Bongaigaon,26.339917,90.628451,39.0,0.1349885682669035,non_hilly,SRTM30m,18.0,281.0,22.0,15.0,2438.0,23431211.0,2.0,7.1773904313439,1
Assam,Cachar,24.75841,92.881356,26.0,0.4531735057178055,non_hilly,SRTM30m,18.0,282.0,12.0,9.0,848.0,14078411.0,2.0,7.0499170611118,1
Assam,Darrang,26.438395,92.005064,55.0,0.1684768378619394,non_hilly,SRTM30m,18.0,283.0,37.0,22.0,2534.0,24131311.0,2.0,7.1773904313439,1
Assam,Dhemaji,27.577704,94.695287,110.0,0.187209661616697,non_hilly,SRTM30m,18.0,284.0,44.0,27.0,3366.0,26808124.0,2.0,7.1773904313439,1
Assam,Dhubri,26.132295,90.129865,28.0,0.2199883078338779,non_hilly,SRTM30m,18.0,285.0,21.0,15.0,2350.0,22530611.0,2.0,7.1773904313439,1
Assam,Dibrugarh,27.398014,94.996351,105.0,0.2874285047869868,non_hilly,SRTM30m,18.0,286.0,42.0,26.0,3262.0,26578124.0,2.0,7.1773904313439,1
Assam,Goalpara,26.061127,90.581017,49.0,9.85976821925583,non_hilly,SRTM30m,18.0,287.0,23.0,15.0,2419.0,22661511.0,2.0,7.1773904313439,1
Assam,Golaghat,26.318346,93.998703,105.0,0.2710271793084717,non_hilly,SRTM30m,18.0,288.0,44.0,26.0,3551.0,27196124.0,2.0,7.1773904313439,1
Assam,Hailakandi,24.507957,92.630415,51.0,1.684786371907817,non_hilly,SRTM30m,18.0,289.0,11.0,9.0,752.0,2978411.0,2.0,7.0499170611118,1
Assam,Jorhat,26.650268,94.269665,110.0,0.1032294850077129,non_hilly,SRTM30m,18.0,290.0,41.0,26.0,3224.0,26538124.0,2.0,7.1773904313439,1
Assam,Kamrup,26.124433,91.29921,45.0,0.2022750235181882,non_hilly,SRTM30m,18.0,291.0,31.0,19.0,2486.0,23903511.0,2.0,7.1773904313439,1
Assam,Karbi Anglong,26.071343,93.451405,857.0,14.801732052566358,non_hilly,SRTM30m,18.0,292.0,42.0,24.0,3457.0,25281124.0,2.0,7.1773904313439,1
Assam,Karimganj,24.582981,92.371324,60.0,1.0077934603337997,non_hilly,SRTM30m,18.0,293.0,11.0,10.0,761.0,3675211.0,2.0,7.0499170611118,1
Assam,Kokrajhar,26.49328,90.121263,50.0,0.187077650414555,non_hilly,SRTM30m,18.0,294.0,19.0,13.0,2300.0,21800611.0,2.0,7.1773904313439,1
Assam,Lakhimpur,27.171225,94.188407,88.0,0.1801801801801801,non_hilly,SRTM30m,18.0,295.0,45.0,26.0,3475.0,27193124.0,2.0,7.1773904313439,1
Assam,Marigaon,26.289928,92.291859,55.0,0.045045045045045,non_hilly,SRTM30m,18.0,296.0,37.0,22.0,2534.0,24131311.0,2.0,7.1773904313439,1
Assam,Nagaon,26.331023,92.758212,62.0,0.0502596665593476,non_hilly,SRTM30m,18.0,297.0,42.0,23.0,3438.0,25256311.0,2.0,7.1773904313439,1
Assam,Nalbari,26.355102,91.399785,44.0,0.1031664187454014,non_hilly,SRTM30m,18.0,298.0,27.0,18.0,2455.0,23498511.0,2.0,7.1773904313439,1
Assam,Dima Hasao,25.398471,93.076869,271.0,2.72783097758139,non_hilly,SRTM30m,18.0,299.0,23.0,17.0,2076.0,20958011.0,2.0,7.1773904313439,1
Assam,Sivasagar,26.993864,94.621813,94.0,0.3787922939870037,non_hilly,SRTM30m,18.0,300.0,43.0,26.0,3366.0,26783124.0,2.0,7.1773904313439,1
Assam,Sonitpur,26.763877,92.703411,79.0,0.4419910745908118,non_hilly,SRTM30m,18.0,301.0,43.0,24.0,3444.0,25256424.0,2.0,7.1773904313439,1
Assam,Tinsukia,27.597178,95.566896,129.0,0.3542175718683003,non_hilly,SRTM30m,18.0,302.0,40.0,26.0,3255.0,26567124.0,2.0,7.1773904313439,1
Assam,Chirang,26.645248,90.629425,93.0,0.7051068578869734,non_hilly,SRTM30m,18.0,612.0,20.0,13.0,2354.0,23001211.0,2.0,7.1773904313439,1
Assam,Baksa,26.633,91.455052,75.0,0.3193165863628372,non_hilly,SRTM30m,18.0,616.0,32.0,21.0,2517.0,23876311.0,2.0,7.1773904313439,1
Assam,Udalguri,26.70767,92.038879,92.0,0.206667927229149,non_hilly,SRTM30m,18.0,617.0,34.0,22.0,2518.0,23901311.0,2.0,7.1773904313439,1
Assam,Kamrup Metro,26.126069,91.862585,185.0,3.9518116912811534,non_hilly,SRTM30m,18.0,618.0,32.0,19.0,2382.0,23879311.0,2.0,7.1773904313439,1
Assam,Biswanath,26.793083,93.361125,77.0,0.09009009009009,non_hilly,SRTM30m,18.0,705.0,45.0,26.0,3551.0,27206124.0,2.0,7.1773904313439,1
Assam,Majuli,26.970921,94.278549,87.0,0.1354040955785295,non_hilly,SRTM30m,18.0,706.0,44.0,26.0,3475.0,27163124.0,2.0,7.1773904313439,1
Assam,South Salmara Mancachar,25.760507,89.893939,26.0,0.045045045045045,non_hilly,SRTM30m,18.0,707.0,17.0,13.0,2069.0,9388211.0,2.0,7.1773904313439,1
Assam,Charaideo,27.070207,95.06496,108.0,0.1442932254045285,non_hilly,SRTM30m,18.0,708.0,38.0,25.0,3086.0,24328124.0,2.0,7.1773904313439,1
Assam,Hojai,25.963203,92.9793,79.0,0.3504721742369615,non_hilly,SRTM30m,18.0,709.0,33.0,21.0,3200.0,22847011.0,2.0,7.1773904313439,1
Assam,West Karbi Anglong,25.852531,92.587243,408.0,1.8542076898749589,non_hilly,SRTM30m,18.0,710.0,34.0,21.0,2377.0,21920011.0,2.0,7.1773904313439,1
Bihar,Khagaria,25.492787,86.698328,35.0,0.045045045045045,non_hilly,SRTM30m,10.0,202.0,22.0,19.0,5071.0,12417220.0,2.0,7.8036502762015,1
Bihar,Kishanganj,26.304286,87.948677,58.0,0.1004961348195159,non_hilly,SRTM30m,10.0,203.0,24.0,18.0,5823.0,41140334.0,2.0,7.8036502762015,1
Bihar,Lakhisarai,25.156322,86.175638,45.0,0.3356653566429886,non_hilly,SRTM30m,10.0,204.0,22.0,18.0,7472.0,13914220.0,2.0,7.8036502762015,1
Bihar,Madhepura,25.780047,86.93618,46.0,0.1346320574154648,non_hilly,SRTM30m,10.0,205.0,25.0,20.0,5222.0,12643720.0,2.0,7.8036502762015,1
Bihar,Madhubani,26.350265,86.22968,54.0,0.1349952643456264,non_hilly,SRTM30m,10.0,206.0,27.0,21.0,4848.0,12677920.0,2.0,7.8036502762015,1
Bihar,Munger,25.220764,86.516423,324.0,5.187219177246253,non_hilly,SRTM30m,10.0,207.0,22.0,18.0,6915.0,13765220.0,2.0,7.8036502762015,1
Bihar,Muzaffarpur,26.148751,85.340321,53.0,0.103122977904485,non_hilly,SRTM30m,10.0,208.0,24.0,20.0,5230.0,12251420.0,2.0,7.8036502762015,1
Bihar,Nalanda,25.209913,85.447539,54.0,0.0995741964438357,non_hilly,SRTM30m,10.0,209.0,21.0,18.0,5071.0,12414220.0,2.0,7.8036502762015,1
Bihar,Nawada,24.817142,85.51796,99.0,0.2337336852963175,non_hilly,SRTM30m,10.0,210.0,19.0,16.0,7077.0,13634220.0,2.0,7.8036502762015,1
Bihar,Pashchim Champaran,27.052278,84.334708,84.0,0.1354587491263753,non_hilly,SRTM30m,10.0,211.0,25.0,22.0,5100.0,14226420.0,2.0,7.8036502762015,1
Bihar,Patna,25.467363,85.19618,50.0,0.045045045045045,non_hilly,SRTM30m,10.0,212.0,23.0,19.0,5159.0,12432220.0,2.0,7.8036502762015,1
Bihar,Purbi Champaran,26.638942,84.899306,64.0,0.2712614752552588,non_hilly,SRTM30m,10.0,213.0,23.0,19.0,4760.0,12291420.0,2.0,7.8036502762015,1
Bihar,Purnia,25.774872,87.409736,38.0,0.0,non_hilly,SRTM30m,10.0,214.0,25.0,19.0,6444.0,38600220.0,2.0,7.8036502762015,1
Bihar,Rohtas,24.939508,84.020582,110.0,0.3014481853658595,non_hilly,SRTM30m,10.0,215.0,20.0,16.0,4154.0,13393220.0,2.0,7.8036502762015,1
Bihar,Saharsa,25.832113,86.617877,42.0,0.0673323685466592,non_hilly,SRTM30m,10.0,216.0,23.0,20.0,5080.0,12418720.0,2.0,7.8036502762015,1
Bihar,Samastipur,25.77449,85.866873,43.0,0.2019428628246787,non_hilly,SRTM30m,10.0,217.0,25.0,21.0,5275.0,12451420.0,2.0,7.8036502762015,1
Bihar,Saran,25.910005,84.781223,55.0,0.1682055001437837,non_hilly,SRTM30m,10.0,218.0,25.0,20.0,4970.0,12196420.0,2.0,7.8036502762015,1
Bihar,Sheikhpura,25.125545,85.815257,48.0,0.2405550748234577,non_hilly,SRTM30m,10.0,219.0,20.0,17.0,5072.0,13904220.0,2.0,7.8036502762015,1
Bihar,Sheohar,26.493754,85.271935,64.0,0.1102802768723183,non_hilly,SRTM30m,10.0,220.0,21.0,18.0,4616.0,12066420.0,2.0,7.8036502762015,1
Bihar,Sitamarhi,26.571264,85.599721,59.0,0.0503646223053808,non_hilly,SRTM30m,10.0,221.0,23.0,19.0,4782.0,12391420.0,2.0,7.8036502762015,1
